Period,AE,AE4h
01/08/2010,1752381,425702
01/09/2010,1756268,424900
01/10/2010,1801348,436215
01/11/2010,1651027.429,429099
01/12/2010,1737741.143,452728.7143
01/01/2011,1727796.714,442003.7143
01/02/2011,1599364,401206.4286
01/03/2011,1863441,446845.5714
01/04/2011,1844374.857,419243.2857
01/05/2011,1873695.143,427276.5714
01/06/2011,1785417.286,413320.8571
01/07/2011,1864959.429,425797.8571
01/08/2011,1758108.286,410554.2857
01/09/2011,1781210.571,410760.8571
01/10/2011,1848912.429,435080.1429
01/11/2011,1741440.857,424887
01/12/2011,1732045.857,441655.2857
01/01/2012,1737518,436198.8571
01/02/2012,1704231.714,420552.5714
01/03/2012,1933152.857,454396
01/04/2012,1769523.286,424128.8571
01/05/2012,1929570.429,443877.4286
01/06/2012,1887841.286,426005.7143
01/07/2012,1924523.286,444955
01/08/2012,1845142.286,425172.5714
01/09/2012,1788490.857,421778.4286
01/10/2012,1832304.286,446302.7143
01/11/2012,1755605.143,435309.5714
01/12/2012,1822425.571,451180.7143
01/01/2013,1733118.429,437210
01/02/2013,1648748.429,404950.7143
01/03/2013,1865084.143,453638.2857
01/04/2013,1831420.429,429244.7143
01/05/2013,1891670.286,437698.1429
01/06/2013,1831036.286,423199.1429
01/07/2013,1976288.857,443851.1429
01/08/2013,1840591.143,426909
01/09/2013,1768748.714,427778.5714
01/10/2013,1829429.286,449631.2857
01/11/2013,1733036.571,441624.2857
01/12/2013,1782029.143,462417.7143
01/01/2014,1739538.857,457387.8571
01/02/2014,1661814.429,420487.1429
01/03/2014,1957340.857,467851.2857
01/04/2014,1877675.857,448681.5714
01/05/2014,1978028.429,466071
01/06/2014,1942268,450817.2857
01/07/2014,1993630.857,463122.1429
01/08/2014,1817310,441757.7143
01/09/2014,1853285.714,446126
01/10/2014,1892374,469268
01/11/2014,1830460.286,464342
01/12/2014,1901227,484360.7143
01/01/2015,1732067,463400.8571
01/02/2015,1654846.429,424634.7143
01/03/2015,1942967,474940.7143
01/04/2015,1873167.714,450253.4286
01/05/2015,1937468.857,468415.5714
01/06/2015,1911209,458790
01/07/2015,1952895,473914
01/08/2015,1865139,455432
01/09/2015,1859979,464195
01/10/2015,1923108,479987
01/11/2015,1874235,475564
01/12/2015,1867652,487798
01/01/2016,1906920.429,484833
01/02/2016,1870776,462864
01/03/2016,2087553,494076
01/04/2016,1867781,460209
01/05/2016,2070340,493191
01/06/2016,1958802,480210
01/07/2016,2079034,490221
01/08/2016,1932901,470554
01/09/2016,1952464,475808
01/10/2016,2001816,492983
01/11/2016,1907871,489326
01/12/2016,1944567,497915
01/01/2017,1895272,492273
01/02/2017,1735619,447688
01/03/2017,2015834,509805
01/04/2017,1949762,471328
01/05/2017,2066789,505843
01/06/2017,1994056,491206
01/07/2017,2073944,499259
01/08/2017,1924663,486074
01/09/2017,1925961,486799
01/10/2017,2044137,513217
01/11/2017,1976971,513019
01/12/2017,2003954,520803
01/01/2018,2000086,526045
01/02/2018,1820012,476867
01/03/2018,2049785,526066
01/04/2018,1984369,503393
01/05/2018,2164458,533457
01/06/2018,2093942,513254
01/07/2018,2179896,529932
01/08/2018,1997854,517299
01/09/2018,2005695,510322
01/10/2018,2079492,546022
01/11/2018,2037847,545357
01/12/2018,2047518,544903
01/01/2019,2113413,564035
01/02/2019,1954947,505722
01/03/2019,2167551,555457
01/04/2019,2112184,535226
